homeid,kettle,microwave,dishwasher,washingmachine,electricshower,electriccooker
105,1,1,1,1,0,0
106,1,1,0,1,1,1
128,1,1,0,0,0,0
136,0,0,1,1,0,0
139,0,0,1,1,0,0
140,0,0,0,0,0,1
145,0,0,0,1,1,0
146,0,1,0,0,0,0
162,0,0,0,1,1,1
168,1,1,0,0,0,0
169,0,1,1,0,0,0
171,0,0,0,1,0,0
175,0,0,1,1,1,0
208,1,0,0,1,1,0
212,0,0,1,1,0,0
225,0,0,0,0,1,0
227,1,1,0,0,1,0
228,0,1,0,1,1,0
231,1,1,1,1,0,0
238,0,1,1,1,0,0
242,0,1,1,1,0,1
249,1,1,1,0,1,0
255,0,1,0,1,0,1
263,0,1,1,0,0,0
264,1,1,1,1,0,1
266,0,1,0,0,0,0
268,1,1,0,1,0,0
328,1,1,0,0,0,1
61,1,1,1,0,0,0
62,1,0,1,1,0,0
63,0,1,1,0,0,0
65,1,0,1,1,1,1
73,1,0,0,1,1,0
96,0,1,1,1,0,0
